title,author,rating,warning,category,fandom,relationship,characters,additional_tags,publish_time,words,hits,kudos,comments,summary,firsthundred,url
北城别（中）,shallow_fish,['Mature'],"['Graphic Depictions Of Violence', 'Rape/Non-Con']",['M/M'],['One - Fandom'],['高纬×高酋'],['原生之罪衍生 - Character'],['高纬×高酋 - Freeform'],2019-07-04,3283,274,7,0,no summary,五走不掉的逃不开的挣扎着，痛苦着，陷入深不见底的黑暗还跑么？牢里那夜，他不曾昏过去他太想出去了高纬把他抱出监牢，走过幔帐飞舞的走廊，穿过月色下的宫墙。那人怀里可真暖和，可贴着他的心，却是冷成了冰碴子。,https://archiveofourown.org/works/19476049
Hard To Get,Azulillo,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['偶像练习生 | Idol Producer (TV)'],"['蔡徐坤 - Relationship', '王子异 - Relationship', '坤异 - Relationship']",there is nothing,['坤异 - Freeform'],2019-05-14,5450,1561,12,0,no summary,盛夏的热浪还未完全褪去，校董儿子当众跟人表白却被拒绝的消息却传播得飞快。课间休息的时候人们三三两两地凑在一起悄声讨论着：“诶你听说了吗？高一二班那个王子异拒绝了校董儿子的表白！”“真的啊？他胆子这么大,https://archiveofourown.org/works/18824740
破冰者（Translation of Icebreaker),polarbonnie,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['Captain America (Movies)', 'Marvel Cinematic Universe']","['James ""Bucky"" Barnes/Steve Rogers']","['James ""Bucky"" Barnes', 'Steve Rogers', 'Tony Stark', 'Pepper Potts', 'Sam Wilson (Marvel)', 'Natasha Romanov', 'Clint Barton', 'Thor (Marvel)', 'Jane Foster (Marvel)', 'Bruce Banner']","['Epilogue', 'idyll', 'Tropical Vacation', 'Steve Has Issues', 'Steve and Bucky Just Want to be Warm', 'Mani-Pedis for Everyone']",2015-04-07,12355,478,17,0,简介：Bucky用射进敌人脑袋的子弹来告诉Steve他爱他已经太多次了，多到他都数不清。但他知道Steve有时候还是需要听见他说出那三个字。,Tony检查曾经是波士顿市中心的三个街区的断壁残垣，然后他抬起头来疲倦地看了Steve和Bucky一眼。破坏地距离旅游胜地自由大道太近了，但不管怎样Bucky都觉得Tony应该开心，因为他们终于——终,https://archiveofourown.org/works/3702133
Soft stone,Sylvecis,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['The Avengers (Marvel) - All Media Types'],"['Steve Rogers/Tony Stark', '盾铁']","['Steve Rogers', 'Tony Stark']",there is nothing,2014-04-16,4272,1206,52,13,no summary, 托尼走在路上的时候天还是青灰色，有些商店已经早早的开门了。或者说，好像压根就没有关门过，托尼走过商店门口的时候向里面稍稍张望，里面的服务员都无精打采的。实际上，托尼自己也是无精打采的。托尼走完了一条,https://archiveofourown.org/works/1473847
【生非】【巍澜衍生】【春日动荡】14. 法耶,heiyeye,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['巍澜衍生 - Fandom'],there is nothing,there is nothing,there is nothing,2018-11-04,1816,254,0,0,no summary,Faye从英文译来，若作名字，可以念做法耶。须贺诹访自然不知晓这些语言上的弯弯绕绕，但他却知晓着“法耶夫人”这个响当当的名字。一个女人，操纵了横跨欧亚大陆的整条航线的渔业，她的商船，永远是蔚蓝大海上最,https://archiveofourown.org/works/16518188
机车,rosegrose,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['朱白 - Fandom'],['Lover - Relationship'],"['朱一龙', '白宇']",there is nothing,2019-03-18,1162,2553,16,0,no summary,ooc慎，请勿上升真人，谢谢情趣play大哥，我把你生日礼物想好了！ 快到朱一龙生日了，他对象白宇想到一个好主意。生日当天，他把他们家的车库装扮一番，特别是白宇最喜欢的机车，白宇给弄了弄。就等朱一龙回,https://archiveofourown.org/works/18155291
铁轨上,Loria_flo,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Romeo et Juliette - Presgurvic'],"['Tycutio', 'Mercutio/Tycutio']","['Tybalt', 'Mercutio']",there is nothing,2019-09-05,3953,183,11,0,他如火车，隆隆而来,提伯尔特再次梦见火车。他上一个公寓靠近铁路，远离市中心，租金便宜但建筑破旧，十分钟便驶过一列车厢，在水银般的月亮下轰轰作响，只在凌晨时分停歇片刻。这种环境对人的睡眠实在不友好，不过提伯尔特不睡觉，大部,https://archiveofourown.org/works/20527910
Like Fire  三十章  Let's Fall in Love for the Night,huoxingleto,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['huoxingleto'],there is nothing,"['郁燃', '夏野']",there is nothing,2019-09-04,2838,23,0,0,no summary,窗户外雨脚如麻，闭上眼睛就能轻易感受到的酣畅淋漓。缱绻的夜色笼罩下来，两道交缠身影揉到一起，陷入深蓝绒被，就再也分不开了。 夏野躺在床上，用情动后水汽氤氲的猫儿眼，看着自己眼前的男人脱去身上的睡衣，露,https://archiveofourown.org/works/20520776
及时行乐,Christy19470,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['La mala educación'],"['Enrique/Juan', 'Enrique/Angel']","['Enrique', 'Juan', 'Angel']",there is nothing,2019-04-21,1228,62,2,0,一个享乐主义者的及时行乐。,「早餐」电影拍了近四个月，中间安格尔回了两次家，每次都带回来很多自家做的乳酪。为了保持体型，他每天只吃一点沙拉，连啤酒都不肯喝，乳酪就更不可能了，但母亲坚持要他收下。他留下几块给恩里克当早餐，又给剧组,https://archiveofourown.org/works/18546493
【Hollanfield】,COCOZZA (Spark_Spirits),['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['荷兰傻'],there is nothing,there is nothing,there is nothing,2019-07-20,4529,538,10,0,no summary,　　他怀疑疼痛可以繁衍。　　那些张裂到极限的精神末梢开始从麻木中逐渐苏醒，不断自动修补愈合的皮肉骨骼发出闷响，催人崩溃的痛苦像深深劈开脑袋发出尖叫。　　真操他妈痛。　　比身躯被火车碾压得支离破碎这件事,https://archiveofourown.org/works/19886146
过错6,schatzbaby,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['青春有你'],['宥一点甜'],"['陈宥维', '嘉羿', '陈涛']",there is nothing,2020-02-07,3701,14,0,0,no summary,陈宥维站在宴会厅的阳台上，身姿卓约，身后觥筹交错，小道消息八卦新闻在不断交换传播。助理将嘉羿每天的行程报告发来，他看了一眼手机转个圈放进了口袋。陈涛走到他身边，他却避开他的视线。在晦暗莫测的月光下，陈,https://archiveofourown.org/works/22597513
【喻黄】深情不易（下）,RiaWhispers,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['全职高手'],['喻文州/黄少天'],"['喻文州', '黄少天']",there is nothing,2017-12-03,2206,548,6,0,Kiss u in the shade,/世界是一场迷雾/喻文州一直有去书店的习惯。除了从前学术用的专业书或者大部头的系列经典会直接成箱地寄到家里，很大一部分的书都是他一本本从书店随手捎回来的。好像去得多了，就真的能在书店窥见天堂和玉人的模,https://archiveofourown.org/works/12899250
【SD花流．旅途中系列之四】热狗大赛（文：十甫）,bmyuen,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Slam Dunk'],['Rukawa Kaede/Sakuragi Hanamichi'],"['Sakuragi Hanamichi', 'Rukawa Kaede', '樱木花道', '流川枫 - Character']",['花流'],2019-06-24,1691,40,0,0,no summary,为了庆祝马刺队再次打入NBA季后赛，圣安东尼奥市举办了一连七天的美食嘉年华会。而原本在休士顿市舒舒服服地游玩的樱木花道与流川枫，都为了各自的理由，一起转移阵地──从休士顿转到圣安东尼奥。前者为了美食嘉,https://archiveofourown.org/works/19342990
"Later, or will it be too late? 以後",kakakc,['Mature'],[],['M/M'],['True Detective'],"['Rustin ""Rust"" Cohle/Martin ""Marty"" Hart']","['Rustin ""Rust"" Cohle', 'Martin ""Marty"" Hart']","['1995', 'basically a retell of the whole S1']",2019-06-17,5475,69,6,4,"『如果你問我的話，沒有以後了。』Rustin Cohle把菸塞進面前其中一個Lone Star的空啤酒罐裡，然後頭也不回地離開了那個仍然正在錄影中的鏡頭，大步地走出偵詢室。而被遺留在原地的兩個警探互望了一下。眼神裡顯然並不同意。
總會有以後的。因為生活總得過下去。而案件還沒結束。",『如果你問我的話，沒有以後了。』Rustin Cohle把菸塞進面前其中一個Lone Star的空啤酒罐裡，然後頭也不回地離開了那個仍然正在錄影中的鏡頭，大步地走出偵詢室。而被遺留在原地的兩個警探互望,https://archiveofourown.org/works/19257187
颈环,nekopp,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['savage grace', 'Fright Night']","['jerry/tony', 'Gramander - Relationship', 'Original Percival Graves/Newt Scamander']","['Jerry', 'Tony']",['Gramander'],2019-02-10,2258,157,7,0,"《新天师斗僵尸》jerry  x  《欲孽迷宫》tony
在某个晚上，托尼终于不堪精神压力，把自己的母亲刺死了。而被丢在地上的尸体散发的血腥味，却被路过的，在夜晚游荡的吸血鬼杰瑞察觉到了。",那个夜晚里。好像一切都在被泡在沸腾的水里翻煮，当某一个水泡飞快的产生又急速的破裂后，那一丝难以察觉的被释放出的滚烫空气成了触发那件事的最后一点所需的热量——托尼把刀刺入了自己母亲的小腹。他累了。他想。,https://archiveofourown.org/works/17729834
《Flesh-2》仿生人AU,sebofbun,['Mature'],[],['M/M'],['Thor (Movies)'],['Loki/Thor (Marvel)'],"['Thor (Marvel)', 'Loki (Marvel)']",there is nothing,2018-06-27,9199,1301,27,0,家政仿生人因主人过于色情而软体不稳定最终异常的故事。,他刚从浴室出来，任性的用一件稍长的墨绿色衬衣代替了白毛绒的浴袍，吹干的黑发看起来柔顺极了，撩在耳后衬得他脖颈间的皮肤更加白皙。索尔为他拉开餐桌前的座椅，洛基坐下来时，索尔正弯腰为他展开餐布。如果再低一,https://archiveofourown.org/works/15072359
蜗牛（龙龄番外）车,youbhajg_jiu,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['rewqrtyu'],there is nothing,there is nothing,there is nothing,2019-05-16,1299,183,1,0,no summary,可事实好像并非如此，王九龙拉着他的胳膊往怀里一拽，然后靠近他耳边压着声音说到：“你感觉年龄好小啊，成年没有？没有的话就赶紧回去，我可不想犯罪。”张仲元翻了个白眼，明明是这个孙子块头太大！怎么能说自己显,https://archiveofourown.org/works/18852058
听闻你情有独钟,HollywoodRP,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['听闻你情有独钟'],['周煜澜/裴照'],there is nothing,there is nothing,2018-12-06,17158,123,5,0,两个别扭的人打打闹闹、亲亲抱抱上上炕。对你情有独钟，只盼求有所得。 HE，相爱相杀 喜怒无常王爷X走肾不走心阁主,二更的梆子敲响，李公公找上门来，说皇上宣他进宫。裴照拍拍此时正压在他身上人的屁股：“今日先到此吧。”那人不满，哪有拉开工不射的道理？他仗着下`身硬物已半入，猛冲几下才意犹未尽地抽出。裴照疼得招呼了他一,https://archiveofourown.org/works/16880043
【超晨】十二载,chenxing,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['奔跑吧 | Keep Running (China TV)'],['超晨 - Relationship'],there is nothing,there is nothing,2019-05-25,3983,61,0,0,no summary,今天，公元二零一七年二月八日。我的第三十八个生日。身边的人来了又去，能年年相聚的也算是有缘分。开心也罢，不开心也罢，起码在餐桌前还能挂着笑颜，接受奶油的涂鸦。然后各回各家，烦心的事并不会因此消失，感情,https://archiveofourown.org/works/18957883
梦,su15608380197,['Mature'],[],['M/M'],['声入人心 | Super-Vocal (TV)'],['阿云嘎/郑云龙'],there is nothing,there is nothing,2019-03-29,1534,133,0,0,no summary,坐着烦，不如睡觉，阿云嘎起床没多久就又躺了回去，可能是太疲惫了，昏昏沉沉地睡着了。“嘎子。”又是这个家伙，阿云嘎纳闷，就不能梦到其他人了吗？“你过来。”梦里的自己霸气侧漏，翘着二郎腿坐在床边。郑云龙缓,https://archiveofourown.org/works/18278330
【喻黄】浮灯（R18部分）,moxiaoshu,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['全职高手 - 蝴蝶蓝 | Quánzhí Gāoshǒu - Húdié Lán'],there is nothing,"['喻文州', '黄少天']",there is nothing,2018-10-02,773,3106,8,0,no summary, 喻文州掐到黄少天腿根的时候他叫了一声，鼻音黏腻不知道是因为感冒加成还是真的爽。昨晚黄少天睡得不踏实，翻来覆去最后凑过来抱紧了他，喻文州被突然黏上来的滚烫肌肤灼热鼻息吓了一跳，费了点力气弄开身上的人，,https://archiveofourown.org/works/16167320
《每天都求官方逆cp》33,warm_winter,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['嗯？'],there is nothing,there is nothing,there is nothing,2019-02-28,1522,190,8,0,no summary,“哥，你说真的吗？”江则晚急切地要看林听溪的表情。被他扭过头的林听溪不好意思再说话，只点点头。江则晚掀开被窝，覆在林听溪身上，吻住了他。舌尖勾上舌尖，江则晚意乱情迷，留恋于林听溪嘴里的那一片猩红，将舌,https://archiveofourown.org/works/17948339
发情期2.0,night1947,['Mature'],[],['M/M'],['Seven Psychopaths (2012)'],['Billy/Martin(Marty）'],"['Billy', 'Martin']",there is nothing,2017-01-25,2447,794,14,1,警告：ABO;OOC;二设一堆；生还AU           我到底在写什么（绝望脸）,Billy睡着睡着突然醒了。初晨的阳光透过没拉好的窗帘映出一方浅金色的光域。他坐起来迷茫的嗅了嗅，终于清醒了过来。他翻过去，压到Marty身上亲他，贴他柔软漂亮的嘴唇，啃他下巴，齿冠擦过冒头的胡渣。M,https://archiveofourown.org/works/9460289
初恋(大学篇),Thoki,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['KinKi Kids'],['TK - Relationship'],there is nothing,there is nothing,2018-05-31,7446,2363,7,0,no summary,0. “堂本…” “到——” 略带笑意的懒散应答声从研讨室门口传来，光一错愕的转过身，头发微微留长的男孩倚在门边朝他眨了眨眼。 窗帘突然被一阵暖风吹开，淡粉色的花瓣在空中回旋，飘落。 是四月。,https://archiveofourown.org/works/14810420
【SD花+流．中短篇】非亲勿近（文：十甫）,bmyuen,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Slam Dunk'],['Rukawa Kaede/Sakuragi Hanamichi'],"['Sakuragi Hanamichi', 'Rukawa Kaede', '樱木花道', '流川枫 - Character']",['花+流'],2019-07-09,2903,50,0,0,no summary,流川觉得自己有病，而且病得不轻。不知从何时开始，只要那樱木白痴一靠近他，他就觉得自己的心跳会突然加速；而只要看见他打赤膊，他就觉得自己口干舌燥。更过份的是，只要有女孩靠近那白痴，他就莫名地感到心烦意躁,https://archiveofourown.org/works/19741417
偕行（修订版）,chongqishishi,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['RPS'],there is nothing,"['连笑', '柯洁']",['RPS - Freeform'],2017-08-23,75036,433,13,0,no summary,正是夜半，月光如水。柯洁把自己团成一个球，缩在凳子上，死死地盯着面前的计算机屏幕，十指如飞，机械键盘被敲得噼里啪啦响。连室友桌子上剩下的半桶红烧牛肉面也不能吸引他的注意。好不容易从王者农药中回到现实的,https://archiveofourown.org/works/11887863
紫雨,homeless97,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['声入人心 | Super-Vocal (TV)'],"['龙嘎', 'Ayungya (Musician)/Zheng Yunlong']","['郑云龙', '阿云嘎']",there is nothing,2019-08-11,3509,1168,11,0,*一个想写成pwp 但一半奇怪东西一半做爱的故事,阿云嘎自认不是个重欲之人。之所以说他自认，是因为他总仗着年纪大一些和郑云龙起范儿，一说到这个，郑云龙的回答就是一个字。“屁。”在一起太久，爱了太久，做……的时间累积起来也太久，阿云嘎说“哎我怎么就没你,https://archiveofourown.org/works/20205481
【底特律】【汉盖】Kananaskis part1 营地,heiyulan,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Detroit: Become Human (Video Game)'],['Hank Anderson/Gavin Reed'],there is nothing,there is nothing,2018-09-12,3955,428,11,0,·西部AU，事实上没可能在落基山脉干这些的。 ·TO DPD团建小伙伴们！ ·PWP 组成的故事集。汉盖，800登场前。,  就这么着吧。盖文吐掉嘴里叼着的草根，靴子一夹马肚指挥着马“嗒嗒嗒”地跑到不远处一棵折断的树边上，他想，他得把人带回去，不然即将到来的暴雨会让他冻死。夏天快要过去了，下雨后的山上可能都能结起霜，他们,https://archiveofourown.org/works/15972284
静止（七）,Yexiyan,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['One Direction (Band)'],there is nothing,['阿壳x须须'],there is nothing,2018-12-27,1932,744,4,0,no summary,出了电梯两个人就黏糊到一起，和阿壳在一起久了之后须须脸皮也厚了不少，他清楚这层楼只有他们两个，于是大胆地被阿壳抱在怀里，在走廊里接了个绵长激烈的吻。阿壳抱着他，随便找了个房间推门进去。房间里一片漆黑，,https://archiveofourown.org/works/17183480
STEPMOTHER（中）【车】,SourCreamPumpkin,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"['Real Person Fiction', 'Chinese Actor RPF']",there is nothing,there is nothing,['ALL胡'],2019-03-29,1373,308,3,0,no summary,小胡终于忍不住喝止他。老靳正奇怪他忽然不说话，问道：“怎么了？歌儿，儿子怎么了？”磊磊直直盯着一脸惊诧的小胡，眼里没有半点畏惧和退缩的意思。小胡惊慌失措地想推开他，磊磊正值青春，又打球锻炼多年，并不是,https://archiveofourown.org/works/18277250
深海之下,HailCanineteeth,['Mature'],[],['M/M'],"['GOT7 Markson', '宜嘉']",['Mark Tuan/Jackson Wang'],['Original Characters'],there is nothing,2019-12-06,10763,115,1,0,遥远的童话里有一条美丽的人鱼,《Under the Sea》文/背心儿赛文国靠海，虽不是国富民强，但好在有一位明君和众多贤臣，自建国以来几百年，一直保持稳步前进。国民信仰伟大的海神，他们相信海洋蕴藏着无穷的力量与生机，因为国土面积,https://archiveofourown.org/works/21691570
【东良】虎落,Bough,['Mature'],[],['M/M'],['德云社'],['东良'],['李鹤东 周九良'],there is nothing,2020-01-26,1954,528,14,0,no summary,李鹤东不太屑于与毛绒玩具同床共枕。一人高的跳跳虎坐在床头柜上，黑白房里一道黄，他夹娃娃弄来的。它就是个玩意儿，打眼看上了第二眼也不新鲜了，李鹤东就把它搁那儿。队里聚餐这回在他家。李鹤东拆好酒招待弟兄，,https://archiveofourown.org/works/22421899
羊凡车,Amarandarrr,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['声入人心 | Super-Vocal (TV)'],there is nothing,there is nothing,there is nothing,2019-02-27,2579,2274,21,0,no summary,这句话是压垮黄子弘凡理智的最后一根稻草。他被高杨这句轻飘飘的话砸的心口发疼，就好像囚犯终于等到了经年的判决，还没等他自己反应过来，眼泪已经先于意识溢出了眼眶，他不明白为什么自己哭了，大概是因为他再一次,https://archiveofourown.org/works/17936888
《凉风有信》5,xiang_0912,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['盗墓笔记'],['情侣'],['黑瞎子x解雨臣'],there is nothing,2020-02-15,2228,31,1,0,no summary,拍摄完成之后解雨臣收到他的短信，“来图书借阅室，综合楼二楼最东边。”解雨臣心跳又快了起来，随便找了个借口支开几位同学，在校门外绕了一圈又溜进去。今天周末，但高三的孩子们还在上课。高三的教学楼就在综合楼,https://archiveofourown.org/works/22736590
不老实人,immortal_water,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Yu-Gi-Oh! GX'],['Johan Andersen/Yuuki Juudai'],there is nothing,there is nothing,2019-04-28,4490,88,0,0,no summary,“约翰，总觉得最近好像没怎么做过了……要来吗？”十代翘着腿躺在床上说道，满脸都写着无所事事。一旁正坐在桌边整理卡组的约翰如同怀疑自己听错了一般回过头看向十代。    “诶？”    “嘛啊，你看，最近,https://archiveofourown.org/works/18625057
不确定是包莺还是莺包所以TAG都打上了的新春欢乐轻轨,silicon,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['刀剣乱舞 | Touken Ranbu'],there is nothing,there is nothing,there is nothing,2019-01-24,3670,202,1,0,no summary,☆今年的新年跟往年略微有些不一样。三条派和新选组被邀请去了一百多年前的现世唱歌跳舞，说是一种叫“红白歌合战”的大型庆典，虽然名字叫合战，但并不是真正的战斗而是红组VS白组的歌会。本丸里除了某几位嗜酒如,https://archiveofourown.org/works/17530835
冬枣x红枣 年下父子he,Elsawhere,['Mature'],['Creator Chose Not To Use Archive Warnings'],there is nothing,['All - Fandom'],there is nothing,there is nothing,there is nothing,2019-12-18,2742,168,2,0,no summary,　　冬枣x红枣，父子年下HE　　“那边有人那边有人，靠，快给我个药！”　　红枣都快四十的人了，还像小孩子似的。　　他们单位清闲，整日整日连个屁都见不着，办公室里除了冬枣和红枣，就是桂圆。　　桂圆是科长,https://archiveofourown.org/works/21846691
【Willowen】Mark,SemperFideli,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['Willowen - Fandom'],there is nothing,"['Robbie Williams', 'Mark Owen']",there is nothing,2017-06-28,2039,149,1,0,no summary,Robbie低頭望著趴在自己大腿上顫抖的Mark，用手指輕輕磨蹭著對方小巧的下巴，滑過唇角的指尖沾染上混合了眼淚和唾液的黏液。瞳孔裡倒映出Mark緊緊抓住自己的手，和充滿慾望和哀求，因自己的信息素陷入,https://archiveofourown.org/works/11326902
其他衍生,ovalsweet,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['镇魂'],there is nothing,there is nothing,there is nothing,2019-05-24,6900,384,5,0,no summary,1.杨修贤×柯泽酒吧总是藏着许多惊喜，比如莫名沉在杯底的樱桃，比如吧台边靠在上面圆润的身体。杨修贤一进门就看见了仰着头盯着灯光看的柯泽，纤白的脖颈染上酒吧杂乱的灯光，明明长得纯真可爱，杨修贤却嗅到了他,https://archiveofourown.org/works/18943510
